restaurant_name,rating,main_genre,address_region,address_locality,address_street,closest_station,rating_users,save_users,lunch_budget,dinner_budget,review_lunch_budget,review_dinner_budget,award_medals,award_selections,award_kamiawa,genre,transportation,closed_dates,opening_hrs,reservation_status,payment_methods,no_of_seats,official_website,social_account,opening_date,remarks,branches,tabelog_site,lat,lng,image,name,price_range
大阪天満宮 鮨とよなが,4.14,寿司,大阪府,大阪市北区,天神橋2-5-3 1Ｆ,大阪天満宮駅,274,15335,,"￥30,000～￥39,999","￥40,000～￥49,999","￥40,000～￥49,999",The Tabelog Award 2025 Bronze 受賞店,"食べログ 寿司 WEST 百名店 2025 選出店, 食べログ 寿司 WEST 百名店 2022 選出店",,寿司,"大阪天満宮から徒歩1分
大阪天満宮駅から86m",土曜日、日曜日、祝日,"月・火・水・木・金
                        


                            17:30 - 23:00
                          




                          土・日・祝日
                        


                            定休日
                          





■ 営業時間①17時30分~20時00分②20時30分~23時00分おまかせ37,000円(税込)",完全予約制,"カード可

                      （VISA、Master、JCB、AMEX、Diners）
                    


電子マネー不可


QRコード決済不可",10席,,https://www.instagram.com/sushi.toyonaga_fanclub?igsh=MWlwY2EyanBtam5leg%3D%3D&utm_source=qr,2018年5月12日,,,https://tabelog.com/osaka/A2701/A270103/27105145/,34.69684113718142,135.51341307626066,https://tblg.k-img.com/restaurant/images/Rvw/277994/640x640_rect_91ec55e2ae67926787f24017301e3a80.jpg,大阪天満宮 鮨とよなが,"￥30,000～￥39,999"
たつ庄,3.90,寿司,福岡県,福岡市中央区,高砂1-19-28 エスポワール渡辺通南 １Ｆ,渡辺通駅,244,13883,"￥20,000～￥29,999","￥20,000～￥29,999","￥20,000～￥29,999","￥20,000～￥29,999",,"食べログ 寿司 WEST 百名店 2025 選出店, 食べログ 寿司 WEST 百名店 2022 選出店, 食べログ 寿司 WEST 百名店 2021 選出店",,寿司,"西鉄・地下鉄七隈線薬院駅より徒歩約7分
渡辺通駅から427m",日曜日、祝日,"月
                        


                            12:00 - 14:00
                              L.O. 料理12:30 ドリンク13:00


                            18:00 - 22:00
                              L.O. 料理19:00 ドリンク21:00





                          火
                        


                            11:30 - 14:00
                              L.O. 料理12:30 ドリンク13:00


                            18:00 - 22:00
                              L.O. 料理18:00 ドリンク21:00





                          水・木・金・土
                        


                            11:30 - 14:00
                              L.O. 料理12:30 ドリンク13:00


                            18:00 - 22:00
                              L.O. 料理19:00 ドリンク21:00





                          日・祝日
                        


                            定休日",予約可,"カード可

                      （VISA、JCB、AMEX、Diners）
                    


電子マネー不可


QRコード決済不可","9席

                    （カウンターのみ 9席）",,https://www.instagram.com/tatsusho_sushi,,,,https://tabelog.com/fukuoka/A4001/A400104/40006240/,33.58057123626396,130.4063664685652,https://tblg.k-img.com/restaurant/images/Rvw/250697/640x640_rect_22cd7f7fbc7150f312c53604cc8f4186.jpg,たつ庄,"￥20,000～￥29,999"
鮨処 石ばし,3.75,寿司,福岡県,福岡市中央区,赤坂1-2-6 パインマンション　1F,赤坂駅,206,12213,"￥20,000～￥29,999","￥20,000～￥29,999","￥20,000～￥29,999","￥20,000～￥29,999",,"食べログ 寿司 WEST 百名店 2025 選出店, 食べログ 寿司 WEST 百名店 2022 選出店",,寿司,"西鉄バス 警固町より徒歩1分地下鉄 赤坂駅より徒歩10分
赤坂駅から448m",日曜日、祝日,"月
                        


                            18:00 - 23:00
                          




                          火・水・木・金・土
                        


                            12:00 - 14:00
                          

                            18:00 - 23:00
                          




                          日・祝日
                        


                            定休日
                          





■ 営業時間•12:00-1回転現金のみ 税込10000円カウンター8席［前日までに要予約］火曜日～土曜日(第2.4は水曜日～土曜日)お子様連れのみ個室でも案内可能です・18:00-L.O.20:00税込25300円■定休日日祝日、第2.4月曜日",完全予約制,"カード可

                      （VISA、Master、JCB、AMEX、Diners）
                    


電子マネー不可


QRコード決済不可","12席

                    （カウンター8席、個室4席）",,,2014年8月26日,料理はおまかせのみ昼おまかせ 税込10000円 現金のみ夜おまかせ 税込25300円ランチは火～土(第2.4は水～土)12:00～ １回転のみカウンター8席［前日までに要予約］お子様連れのみ個室でも案内可能,,https://tabelog.com/fukuoka/A4001/A400104/40038106/,33.58506053625599,130.3902977686218,https://tblg.k-img.com/restaurant/images/Rvw/156223/640x640_rect_156223189.jpg,鮨処 石ばし,"￥20,000～￥29,999"
鮨処 多田（ただ）,3.97,寿司,大阪府,大阪市北区,曽根崎新地1-5-26 永楽リンデンビル　 4F,北新地駅,300,21038,,,,"￥40,000～￥49,999","The Tabelog Award 2025 Bronze 受賞店, The Tabelog Award 2023 Bronze 受賞店, The Tabelog Award 2022 Bronze 受賞店, The Tabelog Award 2021 Silver 受賞店, The Tabelog Award 2020 Bronze 受賞店, The Tabelog Award 2019 Bronze 受賞店, The Tabelog Award 2018 Bronze 受賞店, The Tabelog Award 2017 Bronze 受賞店","食べログ 寿司 WEST 百名店 2025 選出店, 食べログ 寿司 WEST 百名店 2022 選出店, 食べログ 寿司 WEST 百名店 2021 選出店",,寿司,"JR東西線北新地駅より徒歩５分
北新地駅から136m",日曜日,"月・火・水・木・金・土
                        


                            18:00 - 02:00
                          




                          日
                        


                            定休日
                          



営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",完全予約制,"カード可

                      （VISA、Master、JCB、AMEX）
                    


電子マネー不可


QRコード決済不可",8席,,,2001年5月7日,2009年、写真撮影は全面禁止となりました。 但し､貸切の場合はＯＫストリートビュー　http://hokkaido-sv.com/shop/tada完全紹介制 一見お断り,,https://tabelog.com/osaka/A2701/A270101/27003367/,34.69786053717579,135.49781277628188,https://tblg.k-img.com/restaurant/images/Rvw/122347/640x640_rect_122347500.jpg,鮨処 多田,"￥40,000～￥49,999"
鮨 ひじり,3.77,寿司,大阪府,大阪市福島区,鷺州2-11-24,福島駅（ＪＲ西日本）,222,9148,"￥20,000～￥29,999","￥20,000～￥29,999",,"￥30,000～￥39,999",,食べログ 寿司 WEST 百名店 2025 選出店,,寿司、海鮮、日本料理,"JR福島駅　　徒歩10分野田阪神駅　徒歩10分海老江駅　　徒歩10分新福島駅　　徒歩10分大阪駅からタクシーで8分中途半端な場所でごめんなさい(>_<)
福島駅（ＪＲ西日本）から434m",,■ 営業時間【3部制】①17:30～②20:30～③12:00〜たまにランチします。■ 定休日不定休,,"カード可


電子マネー不可


QRコード決済不可","12席

                    （貸切りは現在承っておりません。大変申し訳ございません。）",,https://www.instagram.com/sushi_hijiri,2021年7月1日,まずはインスタの【sushi_hijiri】のメッセージから予約をお願いします。来店された時に次回のご予約をお取り頂きました方へ、予約番号を載せたお名刺をお渡しさせて頂いております。鮨ひじりを可愛がってくださるお客様とそのお連れ様で繋がっていくようなお店になればという思いでございます。ご理解のほどよろしくお願いします。※来店されたことのない方がその番号で電話を頂きましてもお断りする場合がございます。予めご了承ください。,,https://tabelog.com/osaka/A2701/A270108/27124287/,34.698203572588575,135.48208704747785,https://tblg.k-img.com/restaurant/images/Rvw/155848/320x320_rect_155848468.jpg,鮨 ひじり,"￥20,000～￥29,999"
GEJO,3.78,寿司,富山県,富山市,東岩瀬町180,競輪場前駅,78,6650,"￥20,000～￥29,999","￥20,000～￥29,999","￥30,000～￥39,999","￥30,000～￥39,999",,食べログ 寿司 WEST 百名店 2025 選出店,,寿司、海鮮,"ライトレール富山港線「競輪場前」駅から徒歩5分。
競輪場前駅から475m",,"月・火・水・木・金・土・日・祝日・祝前日・祝後日
                        


                            12:00 - 15:00
                          

                            18:00 - 22:00
                          





■ 定休日不定休",完全予約制,"カード可

                      （VISA、Master、JCB、AMEX、Diners、UnionPay）
                    


電子マネー不可


QRコード決済不可",8席,http://gejo.jp/,"https://www.facebook.com/gejo.jp/
 
https://www.instagram.com/gejo_taka/",2020年1月10日,,,https://tabelog.com/toyama/A1601/A160101/16009475/,36.7581263147176,137.22871911660633,https://tblg.k-img.com/restaurant/images/Rvw/288570/640x640_rect_490acac16769195dd825fb28933bbbac.jpg,GEJO,"￥20,000～￥29,999"
菊鮨（【旧店名】菊寿司）,4.41,寿司,福岡県,春日市,春日公園3-51-3,大野城駅,481,36813,"￥20,000～￥29,999","￥20,000～￥29,999","￥30,000～￥39,999","￥30,000～￥39,999","The Tabelog Award 2025 Silver 受賞店, The Tabelog Award 2024 Silver 受賞店, The Tabelog Award 2023 Bronze 受賞店, The Tabelog Award 2022 Silver 受賞店, The Tabelog Award 2021 Silver 受賞店, The Tabelog Award 2020 Silver 受賞店, The Tabelog Award 2019 Silver 受賞店, The Tabelog Award 2018 Silver 受賞店","食べログ 寿司 WEST 百名店 2025 選出店, 食べログ 寿司 WEST 百名店 2022 選出店, 食べログ 寿司 WEST 百名店 2021 選出店",,寿司,"ＪＲ大野城駅より徒歩8分西鉄白木原駅より徒歩20分
大野城駅から541m",日曜日,"月・火・水・木・金・土・祝日・祝前日・祝後日
                        


                            11:30 - 13:50
                          

                            14:00 - 16:30
                          

                            18:00 - 20:30
                          




                          日
                        


                            定休日
                          





【※重要】•お休みのお知らせ2025年8月11日〜8月17日の期間はお休みいただきます。なお期間中はお電話も出られませんので、菊鮨公式Instagramページkikuzushi_officialに公式LINEのリンクを貼り付けてますので、そちらからお問い合わせお願い致します。お手数をおかけいたしますが、宜しくお願い致します。【お店からのお願い】お食事中のお煙草での離席は御遠慮いただいてます。あらかじめご了承下さい。何卒ご協力をお願い致します。",予約可,"カード可

                      （VISA、Master、JCB、AMEX、Diners）
                    


電子マネー不可


QRコード決済不可","10席

                    （カウンターのみ）",,https://www.instagram.com/kikuzushi_official?igsh=NWtrYnVyYTRmYWI1&utm_source=qr,,,,https://tabelog.com/fukuoka/A4003/A400301/40010675/,33.52548483632041,130.47376646796155,https://tblg.k-img.com/restaurant/images/Rvw/84244/320x320_rect_84244690.jpg,菊鮨,"￥20,000～￥29,999"
赤吉（【旧店名】あか吉）,4.29,寿司,愛媛県,今治市,伯方町北浦甲1203-8,,110,11008,"￥20,000～￥29,999","￥20,000～￥29,999","￥20,000～￥29,999","￥20,000～￥29,999","The Tabelog Award 2025 Bronze 受賞店, The Tabelog Award 2024 Bronze 受賞店","食べログ 寿司 WEST 百名店 2025 選出店, 食べログ 寿司 WEST 百名店 2022 選出店",,寿司,【自家用車またはタクシー】今治または尾道方面から西瀬戸自動車道（しまなみ海道）伯方島ICで降りて車8分（5.9km）【公共交通機関】・今治駅から瀬戸内海交通バス［急行］宮浦港乗車「伯方島バスストップ」下車89m瀬戸内海交通バス伯方循環線木浦港経由伯方島バスストップ行き乗車「森」バス停下車徒歩1分（53m）・福山駅から高速バスしまなみライナー今治桟橋行き乗車「伯方島バスストップ」下車117m瀬戸内海交通バス伯方循環線木浦港経由伯方島バスストップ行き乗車「森」バス停下車徒歩1分（53m）※伯方島バスストップの乗り継ぎは時刻表上は良さそうに見えますがしまなみ海道は交通量が多く工事をしていることもあり、到着が頻繁に遅れるため、伯方島バスストップへの到着は1本前（1時間前）にしておいた方が安全です。※公共交通機関はディナー帰りの時間にはバス及びフェリーが18時ごろには終了するため宿泊（伯方島内であれば無料送迎可能。予約時要メール連絡）か今治か尾道方面まで戻りたい場合タクシー手配が必要。※伯方島内民宿または無人ホテルあり。,火曜日,"月・水・木・金・土・日
                        


                            18:00 - 22:00
                          




                          火
                        


                            定休日
                          





お料理内容が、25000円+税の、内容に変わっている


営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",完全予約制,"カード可

                      （VISA、Master、JCB、AMEX、Diners）
                    


電子マネー不可


QRコード決済不可","7席

                    （カウンターのみ）",https://gqru.odaikansama.com/,,,完全予約制,,https://tabelog.com/ehime/A3802/A380201/38005035/,34.230749119889374,133.1011354388,https://tblg.k-img.com/restaurant/images/Rvw/230065/640x640_rect_9031dc6f5d63dbb03b4491507dd0374b.jpg,赤吉,"￥20,000～￥29,999"
鮨料理 一高（イチタカ）,3.93,寿司,福岡県,福岡市中央区,"荒戸1-2-2 ロワールマンション大濠101,102",大濠公園駅,200,10217,"￥20,000～￥29,999","￥20,000～￥29,999","￥30,000～￥39,999","￥30,000～￥39,999",The Tabelog Award 2025 Bronze 受賞店,"食べログ 寿司 WEST 百名店 2025 選出店, 食べログ 寿司 WEST 百名店 2022 選出店",,寿司、日本料理,"地下鉄　大濠公園駅　2番出口より 107m 地下鉄   唐人町駅   4番出口より   600m 天神より   車で7分
大濠公園駅から107m",日曜日,"月・火・水・木・金・土・祝日・祝前日・祝後日
                        


                            11:30 - 15:00
                              L.O. 料理13:30 ドリンク14:30


                            17:30 - 22:00
                              L.O. 料理20:00 ドリンク20:30





                          日
                        


                            定休日
                          





■ 営業時間【昼】11:30～ラストオーダー13:30【夜】17:30～ラストオーダー20:00■ 定休日日曜日2025年10月より定休日が変更となります。日曜日→火曜日、水曜日",予約可,"カード可

                      （VISA、Master、JCB、AMEX、Diners）
                    


電子マネー不可


QRコード決済可

                    （PayPay）","15席

                    （カウンター8席、カウンター7席）",https://sushiichitaka.my.canva.site/,"https://www.facebook.com/Ichitaka.fuk/
 
https://www.instagram.com/sushiryori1taka/",2019年8月5日,お電話のご予約受付時間10：00～11：30、15：00～17：305名様以上の場合は直接店舗へご相談ください。,,https://tabelog.com/fukuoka/A4001/A400105/40052388/,33.590702236248475,130.37795526868743,https://tblg.k-img.com/restaurant/images/Rvw/249021/640x640_rect_531aa5941db620cb17863210fcb56b36.jpg,鮨料理 一高,"￥20,000～￥29,999"
鮨かわなか,3.95,寿司,愛媛県,松山市,一番町1-11-9,大街道駅,96,4098,"￥15,000～￥19,999","￥15,000～￥19,999","￥15,000～￥19,999","￥15,000～￥19,999",,食べログ 寿司 WEST 百名店 2025 選出店,,寿司、日本料理、海鮮,"大街道駅より徒歩3分（220m）
大街道駅から204m",,■営業時間［火、水、金］18:00~23:00(最終入店21:00)［木、土、日］12:00~(最終入店13:00)18:00~23:00(最終入店21:00)◾︎電話予約でのみ承っております■定休日月曜日,完全予約制,"カード可


電子マネー可


QRコード決済可",8席,,,2019年9月13日,,,https://tabelog.com/ehime/A3801/A380101/38013098/,33.841210236851914,132.77240546953934,https://tblg.k-img.com/restaurant/images/Rvw/117645/640x640_rect_117645624.jpg,鮨かわなか,"￥15,000～￥19,999"
